xi,pxi,cos xi,RelativeError
0,0.994735802,1,-0.005264198
0.031415927,0.996399852,0.99950656,-0.003108242
0.062831853,0.99675731,0.998026728,-0.001271928
0.09424778,0.995834841,0.995561965,0.000274093
0.125663706,0.993659111,0.992114701,0.001556685
0.157079633,0.990256784,0.987688341,0.00260046
0.188495559,0.985654526,0.982287251,0.003427995
0.219911486,0.979879002,0.975916762,0.004060019
0.251327412,0.972956877,0.968583161,0.004515581
0.282743339,0.964914816,0.960293686,0.004812205
0.314159265,0.955779484,0.951056516,0.004966022
0.345575192,0.945577546,0.940880769,0.004991894
0.376991118,0.934335668,0.929776486,0.004903525
0.408407045,0.922080515,0.917754626,0.004713558
0.439822972,0.908838752,0.904827052,0.004433664
0.471238898,0.894637043,0.891006524,0.004074627
0.502654825,0.879502055,0.87630668,0.003646411
0.534070751,0.863460451,0.860742027,0.003158233
0.565486678,0.846538898,0.844327926,0.002618619
0.596902604,0.828764061,0.827080574,0.002035457
0.628318531,0.810162604,0.809016994,0.001416052
0.659734457,0.790761193,0.790155012,0.000767167
0.691150384,0.770586493,0.770513243,9.51E-05
0.72256631,0.749665169,0.75011107,-0.000594446
0.753982237,0.728023887,0.728968627,-0.001295996
0.785398163,0.70568931,0.707106781,-0.002004607
0.81681409,0.682688105,0.684547106,-0.002715665
0.848230016,0.659046937,0.661311865,-0.003424902
0.879645943,0.634792471,0.63742399,-0.004128365
0.91106187,0.609951371,0.612907054,-0.004822399
0.942477796,0.584550304,0.587785252,-0.005503624
0.973893723,0.558615933,0.562083378,-0.006168915
1.005309649,0.532174925,0.535826795,-0.006815392
1.036725576,0.505253945,0.509041416,-0.007440399
1.068141502,0.477879657,0.481753674,-0.00804149
1.099557429,0.450078727,0.4539905,-0.008616421
1.130973355,0.421877819,0.425779292,-0.009163133
1.162389282,0.3933036,0.397147891,-0.009679746
1.193805208,0.364382734,0.368124553,-0.010164545
1.225221135,0.335141886,0.33873792,-0.010615977
1.256637061,0.305607722,0.309016994,-0.011032637
1.288052988,0.275806906,0.278991106,-0.011413266
1.319468915,0.245766104,0.248689887,-0.011756742
1.350884841,0.215511981,0.218143241,-0.012062075
1.382300768,0.185071202,0.187381315,-0.012328403
1.413716694,0.154470432,0.156434465,-0.012554988
1.445132621,0.123736337,0.125333234,-0.012741209
1.476548547,0.09289558,0.094108313,-0.012886564
1.507964474,0.061974829,0.06279052,-0.012990666
1.5393804,0.031000747,0.031410759,-0.013053236
1.602212253,-0.031000747,-0.031410759,-0.013053236
1.63362818,-0.061974829,-0.06279052,-0.012990666
1.665044106,-0.09289558,-0.094108313,-0.012886564
1.696460033,-0.123736337,-0.125333234,-0.012741209
1.727875959,-0.154470432,-0.156434465,-0.012554988
1.759291886,-0.185071202,-0.187381315,-0.012328403
1.790707813,-0.215511981,-0.218143241,-0.012062075
1.822123739,-0.245766104,-0.248689887,-0.011756742
1.853539666,-0.275806906,-0.278991106,-0.011413266
1.884955592,-0.305607722,-0.309016994,-0.011032637
1.916371519,-0.335141886,-0.33873792,-0.010615977
1.947787445,-0.364382734,-0.368124553,-0.010164545
1.979203372,-0.3933036,-0.397147891,-0.009679746
2.010619298,-0.421877819,-0.425779292,-0.009163133
2.042035225,-0.450078727,-0.4539905,-0.008616421
2.073451151,-0.477879657,-0.481753674,-0.00804149
2.104867078,-0.505253945,-0.509041416,-0.007440399
2.136283004,-0.532174925,-0.535826795,-0.006815392
2.167698931,-0.558615933,-0.562083378,-0.006168915
2.199114858,-0.584550304,-0.587785252,-0.005503624
2.230530784,-0.609951371,-0.612907054,-0.004822399
2.261946711,-0.634792471,-0.63742399,-0.004128365
2.293362637,-0.659046937,-0.661311865,-0.003424902
2.324778564,-0.682688105,-0.684547106,-0.002715665
2.35619449,-0.70568931,-0.707106781,-0.002004607
2.387610417,-0.728023887,-0.728968627,-0.001295996
2.419026343,-0.749665169,-0.75011107,-0.000594446
2.45044227,-0.770586493,-0.770513243,9.51E-05
2.481858196,-0.790761193,-0.790155012,0.000767167
2.513274123,-0.810162604,-0.809016994,0.001416052
2.544690049,-0.828764061,-0.827080574,0.002035457
2.576105976,-0.846538898,-0.844327926,0.002618619
2.607521902,-0.863460451,-0.860742027,0.003158233
2.638937829,-0.879502055,-0.87630668,0.003646411
2.670353756,-0.894637043,-0.891006524,0.004074627
2.701769682,-0.908838752,-0.904827052,0.004433664
2.733185609,-0.922080515,-0.917754626,0.004713558
2.764601535,-0.934335668,-0.929776486,0.004903525
2.796017462,-0.945577546,-0.940880769,0.004991894
2.827433388,-0.955779484,-0.951056516,0.004966022
2.858849315,-0.964914816,-0.960293686,0.004812205
2.890265241,-0.972956877,-0.968583161,0.004515581
2.921681168,-0.979879002,-0.975916762,0.004060019
2.953097094,-0.985654526,-0.982287251,0.003427995
2.984513021,-0.990256784,-0.987688341,0.00260046
3.015928947,-0.993659111,-0.992114701,0.001556685
3.047344874,-0.995834841,-0.995561965,0.000274093
3.078760801,-0.99675731,-0.998026728,-0.001271928
3.110176727,-0.996399852,-0.99950656,-0.003108242
3.141592654,-0.994735802,-1,-0.005264198
