xi,pxi,exp xi,RelativeError
-0.98,0.370834963,0.375311099,-0.011926467
-0.96,0.379788868,0.382892886,-0.008106752
-0.94,0.388767527,0.390627835,-0.004762354
-0.92,0.397779445,0.398519041,-0.001855861
-0.9,0.406833125,0.40656966,0.000648021
-0.88,0.415937073,0.414782912,0.002782567
-0.86,0.425099792,0.423162082,0.004579119
-0.84,0.434329787,0.431710523,0.006067175
-0.82,0.443635562,0.440431655,0.007274471
-0.8,0.453025621,0.449328964,0.008227062
-0.78,0.462508469,0.458406011,0.008949399
-0.76,0.472092611,0.467666427,0.009464404
-0.74,0.48178655,0.477113916,0.00979354
-0.72,0.491598791,0.486752256,0.009956882
-0.7,0.501537837,0.496585304,0.009973178
-0.68,0.511612195,0.506616992,0.009859919
-0.66,0.521830367,0.516851334,0.009633394
-0.64,0.532200858,0.527292424,0.009308752
-0.62,0.542732173,0.537944438,0.008900056
-0.6,0.553432816,0.548811636,0.008420339
-0.58,0.564311291,0.559898367,0.007881652
-0.56,0.575376102,0.571209064,0.007295119
-0.54,0.586635754,0.582748252,0.00667098
-0.52,0.598098752,0.594520548,0.006018637
-0.5,0.609773598,0.60653066,0.005346702
-0.48,0.621668799,0.618783392,0.004663033
-0.46,0.633792858,0.631283646,0.003974778
-0.44,0.646154279,0.644036421,0.003288414
-0.42,0.658761567,0.65704682,0.00260978
-0.4,0.671623227,0.670320046,0.001944117
-0.38,0.684747761,0.683861409,0.001296099
-0.36,0.698143676,0.697676326,0.000669867
-0.34,0.711819475,0.711770323,6.91E-05
-0.32,0.725783662,0.726149037,-0.000503168
-0.3,0.740044742,0.740818221,-0.001044086
-0.28,0.75461122,0.755783741,-0.001551398
-0.26,0.769491599,0.771051586,-0.002023194
-0.24,0.784694383,0.786627861,-0.002457932
-0.22,0.800228078,0.802518798,-0.002854413
-0.2,0.816101188,0.818730753,-0.003211759
-0.18,0.832322216,0.835270211,-0.003529391
-0.16,0.848899667,0.852143789,-0.003807012
-0.14,0.865842046,0.869358235,-0.00404458
-0.12,0.883157857,0.886920437,-0.004242297
-0.1,0.900855604,0.904837418,-0.004400585
-0.08,0.918943791,0.923116346,-0.004520075
-0.06,0.937430924,0.941764534,-0.004601585
-0.04,0.956325505,0.960789439,-0.004646111
-0.02,0.97563604,0.980198673,-0.004654804
0,0.995371033,1,-0.004628967
0.02,1.015538988,1.02020134,-0.004570031
0.04,1.03614841,1.040810774,-0.004479551
0.06,1.057207802,1.061836547,-0.004359187
0.08,1.07872567,1.083287068,-0.004210701
0.1,1.100710517,1.105170918,-0.004035938
0.12,1.123170848,1.127496852,-0.003836821
0.14,1.146115167,1.150273799,-0.003615341
0.16,1.169551979,1.173510871,-0.003373545
0.18,1.193489787,1.197217363,-0.003113533
0.2,1.217937097,1.221402758,-0.002837443
0.22,1.242902412,1.246076731,-0.00254745
0.24,1.268394238,1.27124915,-0.002245754
0.26,1.294421077,1.296930087,-0.001934576
0.28,1.320991435,1.323129812,-0.001616151
0.3,1.348113816,1.349858808,-0.001292722
0.32,1.375796724,1.377127764,-0.000966534
0.34,1.404048663,1.404947591,-0.00063983
0.36,1.432878139,1.433329415,-0.000314845
0.38,1.462293654,1.462284589,6.20E-06
0.4,1.492303714,1.491824698,0.000321094
0.42,1.522916823,1.521961556,0.000627656
0.44,1.554141485,1.552707219,0.00092372
0.46,1.585986205,1.584073985,0.001207153
0.48,1.618459487,1.616074402,0.001475851
0.5,1.651569835,1.648721271,0.001727741
0.52,1.685325753,1.68202765,0.00196079
0.54,1.719735746,1.716006862,0.002173001
0.56,1.754808319,1.7506725,0.002362417
0.58,1.790551975,1.786038431,0.002527126
0.6,1.826975219,1.8221188,0.002665259
0.62,1.864086555,1.858928042,0.002774993
0.64,1.901894487,1.896480879,0.002854554
0.66,1.940407521,1.934792334,0.002902217
0.68,1.97963416,1.973877732,0.002916304
0.7,2.019582908,2.013752707,0.002895192
0.72,2.06026227,2.054433211,0.002837308
0.74,2.10168075,2.095935514,0.002741132
0.76,2.143846853,2.13827622,0.002605198
0.78,2.186769083,2.181472265,0.002428093
0.8,2.230455944,2.225540928,0.002208459
0.82,2.274915941,2.270499838,0.001944992
0.84,2.320157577,2.316366977,0.001636442
0.86,2.366189358,2.363160694,0.001281616
0.88,2.413019787,2.410899706,0.000879373
0.9,2.46065737,2.459603111,0.00042863
0.92,2.509110609,2.50929039,-7.16E-05
0.94,2.55838801,2.559981418,-0.00062243
0.96,2.608498077,2.611696473,-0.001224643
0.98,2.659449314,2.664456242,-0.001879156
1,2.711250226,2.718281828,-0.002586782
